,List of Companies
0,CARNATION
1,CARO
2,COCOA D'ONOFRIO
3,ENVIGA
4,LIBBY'S
5,MILO
6,NESCAU
7,NESQUIK
8,NESTEA
9,OVALTINE
10,RICACAO
11,ROMANETTE
12,SPECIAL.T
13,SUPLIGEN
14,SWEET LEAF TEA
15,BLUE BOTTLE COFFEE COMPANY
16,BONKA
17,BUONDI
18,CHAMELEON COLD-BREW
19,CHRISTINA
20,DOLCA
21,DOLCE GUSTO
22,ECCO
23,EL CHANÁ
24,INTERNATIONAL ROAST
25,KIRMA
26,LOUMIDIS
27,MOUNTAIN BLEND
28,NESCAFÉ
29,NESPRESSO
30,PARTNER'S BLEND
31,RICOFFY
32,RICORÉ
33,RISTRETTO
34,SICAL
35,STARBUCKS
36,SUNRISE
37,TASTER'S CHOICE
38,TOFA
39,ZOÉGAS
40,ABERFOYLE
41,ACQUA PANNA
42,ALAÇAM
43,AQUA MINERAL
44,AQUA POD
45,AQUA SPRING
46,AQUAREL
47,ARCTIC
48,ARROWHEAD
49,BARAKA
50,BUXTON
51,CALISTOGA
52,CHARMOISE
53,CIEGO MONTERO
54,CONTREX
55,CRISTALP
56,DA SHAN YUNNAN SPRING
57,DAR NATURY
58,DEEP SPRING
59,DEER PARK
60,ECO DE LOS ANDES
61,ERIKLI
62,FRISCHE BRISE
63,GERBER
64,GHADEER
65,GLACIAR
66,HENNIEZ
67,HÉPAR
68,HIDDEN SPRING
69,ICE MOUNTAIN
70,?ORPI
71,LA VIE
72,LEVISSIMA
73,LOS PORTALES
74,MINÉRÉ
75,MONTCLAIR
76,NALECZOWIANKA
77,NESTLÉ SELDA
78,NESTLÉ VERA
79,NEUSELTERS
80,OZARKA
81,PEJO
82,PERRIER
83,PETRÓPOLIS
84,PLANCOËT
85,POLAND SPRING
86,PORVENIR
87,POWWOW
88,PRINCES GATE
89,PURE LIFE/PUREZA VITAL/VIE PURE
90,QUÉZAC
91,RECOARO
92,SAINT-LAMBERT
93,SAINTE-ALIX
94,SAN PELLEGRINO
95,SANTA BÁRBARA
96,SANTA MARIA
97,SÃO LOURENÇO
98,SOHAT
99,SPRINGS
100,THEODORA
101,VALVERT
102,VILADRAU
103,VITTEL
104,WATER LINE
105,WATERMAN
106,ZEPHYRHILLS
107,CEREVITA
108,CHEERIOS
109,CHOCAPIC
110,CINI MINIS
111,CLUSTERS
112,COOKIE CRISP
113,CRUNCH
114,CURIOUSLY CINNAMON
115,CURIOUSLY STRAWBERRY
116,ESTRELITAS
117,FITNESS
118,FORCE FLAKES
119,GOLD FLAKES
120,GOLDEN GRAHAMS
121,GOLDEN MORN
122,GOLDEN NUGGETS
123,HONEY STARS
124,KOKO KRUNCH
125,LION CEREAL
126,MILO CEREALS
127,NESCAU CEREAL
128,NESQUIK BREAKFAST CEREAL
129,NESTLÉ CORN FLAKES
130,SHREDDED WHEAT
131,SHREDDIES
132,TRIO CEREAL
133,CERELAC
134,CHAMYTO
135,CHAMBINHO
136,CHANDELLE
137,CHIQUITÍN
138,CLUB
139,HIRZ
140,LA LAITIÈRE
141,LA LECHERA
142,LC1
143,LE VIENNOIS
144,MOÇA
145,MOLICO
146,MUNCH BUNCH
147,NESTLÉ
148,NESVITA
149,NINHO
150,SKI
151,SOLLYS
152,SVELTESSE
153,SVELTY
154,YOCO
155,ABUELITA
156,AERO
157,AFTER EIGHT
158,ALL STARS
159,ALLEN'S
160,ALPIA
161,ALPINO
162,ANIMAL BAR
163,BERTIE BEETLE
164,BESOS DE MOZA
165,BIG TURK
166,BLACK MAGIC
167,BLUE RIBAND
168,BOCI
169,BONO
170,BON PARI
171,BREAKAWAY
172,CAILLER
173,CAPRI
174,CARAMAC
175,CARLOS V
176,CHARGE
177,CHIPS AHOY!
178,CHOCLAIT CHIPS
179,CHOCO CROSSIES
180,CHOCOLATE SURPRESA
181,CHOKITO
182,COCOSETTE
183,COFFEE CRISP
184,D'ONOFRIO
185,DAIRY BOX
186,DAMAK
187,DRIFTER
188,FIZZFINDLE
189,FRIGOR
190,GALAK/MILKYBAR
191,HEAVEN
192,HERCULES BARS
193,JOE
194,JOFF
195,JOJO
196,KIT KAT
197,LION
198,LOLLO
199,MABEL'S
200,CRACKER
201,CREMOSITAS
202,GAUCHITAS
203,MARÍA MAIZENA
204,MORADITAS
205,ROSQUITAS
206,SALVADO
207,TOP
208,WAFER
209,YAPITA
210,MATCHMAKERS
211,MILKY BAR
212,MIO
213,MINTIES
214,MIRAGE
215,MOÇA
216,MUNCH
217,MUNCHIES
218,NEGRESCO
219,NEGRITA
220,NESTLÉ AERO
221,NESTLÉ ALPINE WHITE
222,NESTLÉ CANDY SHOP
223,NESTLÉ CLASSIC
224,NESTLÉ DESSERT
225,NESTLÉ MILK CHOCOLATE
226,NESTLÉ PRINCESSA
227,NESTLÉ WITH ALMONDS
228,NESTLÉ WONDER BALL
229,NESTLÉ YES
230,NUTS
231,ORION
232,PASSATEMPO
233,PEPPERMINT CRISP
234,PERUGINA BACI
235,PLAISTOWE
236,POLO
237,PRESTÍGIO
238,PRINCESSA
239,QUALITY STREET
240,ROLO
241,ROWNTREES
242,FRUIT GUMS
